country,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034
Botswana,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
Central African Republic,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1
Canada,2,,,,,2,,,,,2,,,,,2,,,,,3,,,,,3,,,,,3,,,,,3,,,,,3,,,,,3,,,,,4,,,,,6,,,,,6,,,,,6,,,,,6,,,,,6,,,,,6,,,,,6
Switzerland,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
Chile,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,2,,,,,2,,,,,2
China,8,,,,,10,,,,,12,,,,,13,,,,,14,,,,,15,,,,,18,,,,,23,,,,,34,,,,,45,,,,,64,,,,,71,,,,,86,,,,,109,,,,,134,,,,,162,,,,,173,,,,,183
Cote d'Ivoire,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
Cameroon,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2
"Congo, Dem. Rep.",0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,3,,,,,3,,,,,3,,,,,5,,,,,6,,,,,7,,,,,9,,,,,11
"Congo, Rep.",0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2
Colombia,0,,,,,0,,,,,1,,,,,1,,,,,2,,,,,3,,,,,3,,,,,4,,,,,4,,,,,4,,,,,4,,,,,4,,,,,5,,,,,5,,,,,6,,,,,6,,,,,7,,,,,7
Comoros,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
Cape Verde,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
Costa Rica,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
Cuba,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
Cyprus,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
Czech Republic,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
Germany,2,,,,,2,,,,,3,,,,,3,,,,,3,,,,,3,,,,,3,,,,,3,,,,,3,,,,,3,,,,,3,,,,,3,,,,,4,,,,,4,,,,,4,,,,,4,,,,,4,,,,,4
Djibouti,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
Denmark,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
Dominican Republic,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
Algeria,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,2,,,,,2
Ecuador,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2
Egypt,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2
Eritrea,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1
Spain,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2
Estonia,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
Ethiopia,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
Finland,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
Fiji,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
France,1,,,,,1,,,,,1,,,,,3,,,,,3,,,,,3,,,,,3,,,,,3,,,,,3,,,,,3,,,,,4,,,,,4,,,,,4,,,,,4,,,,,5,,,,,6,,,,,6,,,,,7
"Micronesia, Fed. Sts.",0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
Gabon,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1
United Kingdom,6,,,,,6,,,,,6,,,,,6,,,,,6,,,,,6,,,,,6,,,,,5,,,,,5,,,,,5,,,,,5,,,,,5,,,,,5,,,,,5,,,,,5,,,,,5,,,,,6,,,,,6
Georgia,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
Ghana,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,3,,,,,3,,,,,4
Guinea,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
Gambia,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
Guinea-Bissau,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
Equatorial Guinea,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
Greece,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
Grenada,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
Guatemala,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
Guyana,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
"Hong Kong, China",1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
Honduras,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,2,,,,,2,,,,,2
Croatia,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
Haiti,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
Hungary,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
Indonesia,1,,,,,1,,,,,1,,,,,3,,,,,3,,,,,3,,,,,5,,,,,5,,,,,6,,,,,8,,,,,10,,,,,10,,,,,10,,,,,13,,,,,16,,,,,18,,,,,19,,,,,19
India,5,,,,,6,,,,,7,,,,,8,,,,,9,,,,,10,,,,,10,,,,,15,,,,,24,,,,,26,,,,,36,,,,,41,,,,,48,,,,,59,,,,,63,,,,,65,,,,,71,,,,,78
Ireland,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
Iran,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,2,,,,,4,,,,,5,,,,,6,,,,,6,,,,,8,,,,,8,,,,,9,,,,,9,,,,,9,,,,,9
Iraq,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,2,,,,,2,,,,,3,,,,,3,,,,,4,,,,,5,,,,,6,,,,,8
Iceland,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
Israel,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,2,,,,,2,,,,,2,,,,,2,,,,,3,,,,,3
Italy,4,,,,,4,,,,,4,,,,,4,,,,,4,,,,,4,,,,,4,,,,,4,,,,,4,,,,,4,,,,,4,,,,,4,,,,,4,,,,,4,,,,,4,,,,,4,,,,,4,,,,,4
Jamaica,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
Jordan,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
Japan,4,,,,,4,,,,,5,,,,,7,,,,,7,,,,,7,,,,,7,,,,,7,,,,,8,,,,,8,,,,,8,,,,,8,,,,,8,,,,,8,,,,,8,,,,,8,,,,,8,,,,,8
Kazakhstan,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,3,,,,,3,,,,,3,,,,,3
Kenya,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2
Kyrgyz Republic,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1
Cambodia,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
Kiribati,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
South Korea,1,,,,,2,,,,,2,,,,,2,,,,,3,,,,,3,,,,,4,,,,,4,,,,,6,,,,,7,,,,,7,,,,,8,,,,,8,,,,,8,,,,,10,,,,,10,,,,,10,,,,,10
Kuwait,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
Lao,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
Lebanon,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
Liberia,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
Libya,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,2,,,,,2,,,,,2
St. Lucia,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
Sri Lanka,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
Lesotho,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
Lithuania,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
Luxembourg,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
Latvia,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
Morocco,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,2,,,,,2,,,,,2,,,,,2,,,,,3,,,,,3,,,,,5,,,,,6,,,,,6,,,,,6
Moldova,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
Madagascar,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
Maldives,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
Mexico,1,,,,,1,,,,,1,,,,,2,,,,,3,,,,,3,,,,,4,,,,,4,,,,,5,,,,,8,,,,,8,,,,,8,,,,,11,,,,,14,,,,,17,,,,,21,,,,,25,,,,,27
North Macedonia,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
Mali,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
Malta,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
Myanmar,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2
Montenegro,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
Mongolia,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
Mozambique,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,2,,,,,2,,,,,3,,,,,3,,,,,3
Mauritania,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
Mauritius,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
Malawi,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,2,,,,,2,,,,,2
Malaysia,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,2,,,,,2,,,,,2,,,,,3
Namibia,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
Niger,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,2
Nigeria,0,,,,,0,,,,,0,,,,,1,,,,,1,,,,,1,,,,,3,,,,,3,,,,,3,,,,,3,,,,,4,,,,,6,,,,,6,,,,,8,,,,,11,,,,,16,,,,,20,,,,,27
